ProductId;LocalOrderCode;HasGraphicalItem;Description_EN;Description_DE;Price;weight;UnitOfMeasure;Quantity;Accessory;Title;;;
1SDA023384R0001;1SDA023384R1;0;KIT FC CuAl 3x185mm2 T6 800-S6 800 3pcs;Umbaus.  Ans. 3 S6 T6  800 F FF Cual Zub. f. Leistungsschalter S6/T6;204.00;1.067;pcs;1;;Device;;;
1SDA023385R0001;1SDA023385R1;0;KIT 1/2 3p F F>F RC S6-T6 800;Umbaus.  Ans. 3 S6  800    F FF RC Zub. f. Leistungsschalter S6;222.00;0.912;pcs;1;;Device;;;
1SDA023389R0001;1SDA023389R1;0;KIT EF T6 630 - S6 630 4pcs;Umbaus.  Ans. 4 S6 T6  630 F FF EF Zub. f. Leistungsschalter S6/T6;102.00;0.538;pcs;1;;Device;;;
1SDA023390R0001;1SDA023390R1;0;KIT FC CuAl 2x240mm2 T6 630-S6 630 4pcs;Umbaus.  Ans. 4 S6 T6  630 F FF Cual Zub. f. Leistungsschalter S6/T6;204.00;0.454;pcs;1;;Device;;;
1SDA023391R0001;1SDA023391R1;0;KIT RC 2x150mm2 T6 630 - S6 630 4pcs;Umbaus.  Ans. 4 S6  630    F FF RC Zub. f. Leistungsschalter S6;204.00;1.254;pcs;1;;Device;;;
1SDA023393R0001;1SDA023393R1;0;KIT EF T6 800 - S6 800 4pcs;Umbaus.  Ans. 4 S6 T6  800 F FF EF Zub. f. Leistungsschalter S6/T6;138.00;0.936;pcs;1;;Device;;;
1SDA023394R0001;1SDA023394R1;0;KIT FC CuAl 3x185mm2 T6 800-S6 800 4pcs;Umbaus.  Ans. 4 S6 T6  800 F FF Cual Zub. f. Leistungsschalter S6/T6;274.00;1.395;pcs;1;;Device;;;
1SDA023395R0001;1SDA023395R1;0;KIT RC 3x240mm2 T6 800 - S6 800 4pcs;Umbaus.  Ans. 4 S6  800    F FF RC Zub. f. Leistungsschalter S6;296.00;1.325;pcs;1;;Device;;;
1SDA037121R0001;1SDA037121R1;0;TRIP TEST PR211-212-111;UE-Ausl.Prüfgerät Tt1 Zub. f. Leistungsschalter;41.20;0.057;pcs;1;;Device;;;
1SDA037388R0001;1SDA037388R1;0;RCQ + TOR CL 60 mm;Fehlerstromausl. RCQ Wandler Gesch. 60mm Zub. f. Leistungsschalter;929.00;0.645;pcs;1;;Device;;;
1SDA037389R0001;1SDA037389R1;0;RCQ + TOR CL 110 mm;Fehlerstromausl. RCQ Wandler Gesch.110mm Zub. f. Leistungsschalter;1026.00;0.645;pcs;1;;Device;;;
1SDA037390R0001;1SDA037390R1;0;RCQ + TOR OP 110 mm;RCQ + TOR OP 110 mm;0.00;0.645;pcs;1;;Device;;;
1SDA037391R0001;1SDA037391R1;0;RCQ + TOR OP 180 mm;RCQ + TOR OP 180 mm;0.00;0.645;pcs;1;;Device;;;
1SDA037392R0001;1SDA037392R1;0;RCQ + TOR OP 230 mm;RCQ + TOR OP 230 mm;0.00;0.645;pcs;1;;Device;;;
1SDA037393R0001;1SDA037393R1;0;RCQ NO TOR;RCQ NO TOR;0.00;0.645;pcs;1;;Device;;;
1SDA037394R0001;1SDA037394R1;0;TOR CL 60 mm;Ringkernstromw.  RCQ Geschl. 60mm Zub. f. Leistungsschalter;414.00;1;pcs;1;;Device;;;
1SDA037395R0001;1SDA037395R1;0;TOR CL 110 mm RCQ;Ringkernstromw.  RCQ Geschl.110mm Zub. f. Leistungsschalter;512.00;1;pcs;1;;Device;;;
1SDA037396R0001;1SDA037396R1;0;TOR OP 110 mm RCQ;TOR OP 110 mm RCQ;0.00;2.449;pcs;1;;Device;;;
1SDA037397R0001;1SDA037397R1;0;TOR OP 180 mm RCQ;TOR OP 180 mm RCQ;0.00;4.234;pcs;1;;Device;;;
1SDA037398R0001;1SDA037398R1;0;TOR OP 230 mm RCQ;TOR OP 230 mm RCQ;0.00;5.233;pcs;1;;Device;;;
1SDA038286R0001;1SDA038286R1;0;SHUNT OPEN.RELEASE 24V DC E1/6-T8;A-Ausl.  E1-E6  24V DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038287R0001;1SDA038287R1;0;SHUNT OPEN.RELEASE 30V E1/6-T8;A-Ausl.  E1-E6  30V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038288R0001;1SDA038288R1;0;SHUNT OPEN.RELEASE 48V E1/6-T8;A-Ausl.  E1-E6  48V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038289R0001;1SDA038289R1;0;SHUNT OPEN.RELEASE 60V E1/6-T8;A-Ausl.  E1-E6  60V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038290R0001;1SDA038290R1;0;SHUNT OPEN.RELEASE 110/120V E1/6-T8;A-Ausl.  E1-E6 110-120V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038292R0001;1SDA038292R1;0;SHUNT OPEN.RELEASE 220/240V E1/6-T8;A-Ausl.  E1-E6 220-240V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038293R0001;1SDA038293R1;0;SHUNT OPEN.RELEASE 240/250V E1/6-T8;A-Ausl.  E1-E6 240-250V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038294R0001;1SDA038294R1;0;SHUNT OPEN.RELEASE 380/400V E1/6-T8;A-Ausl.  E1-E6 380-400V AC Zub. f. Leistungsschalter E1-E6;389.00;1;pcs;1;;Device;;;
1SDA038295R0001;1SDA038295R1;0;SHUNT OPEN.RELEASE 440/480V AC E1/6-T8;A-Ausl.  E1-E6 440-480V AC Zub. f. Leistungsschalter E1-E6;389.00;1;pcs;1;;Device;;;
1SDA038297R0001;1SDA038297R1;0;SHUNT CLOSING RELEASE 30V E1/6-T8;E-Ausl. E1-E6 30V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038298R0001;1SDA038298R1;0;SHUNT CLOSING RELEASE 48V E1/6-T8;E-Ausl. E1-E6  48V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038299R0001;1SDA038299R1;0;SHUNT CLOSING RELEASE 60V E1/6-T8;E-Ausl. E1-E6  60V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038300R0001;1SDA038300R1;0;SHUNT CLOSING RELEASE 110/120V E1/6-T8;E-Ausl. E1-E6 110-120V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038301R0001;1SDA038301R1;0;SHUNT CLOSING RELEASE 120/127V E1/6-T8;E-Ausl. E1-E6 120-127V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038302R0001;1SDA038302R1;0;SHUNT CLOSING RELEASE 220/240V E1/6-T8;E-Ausl. E1-E6 220-240V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038303R0001;1SDA038303R1;0;SHUNT CLOSING RELEASE 240/250V E1/6-T8;E-Ausl. E1-E6 240-250V AC/DC Zub. f. Leistungsschalter E1-E6;278.00;1;pcs;1;;Device;;;
1SDA038304R0001;1SDA038304R1;0;SHUNT CLOSING RELEASE 380/400V E1/6-T8;E-Ausl. E1-E6 380-400V AC Zub. f. Leistungsschalter E1-E6;389.00;1;pcs;1;;Device;;;
1SDA038305R0001;1SDA038305R1;0;SHUNT CLOSIN RELEASE 440/480V AC E1/6-T8;E-Ausl. E1-E6 440-480V AC Zub. f. Leistungsschalter E1-E6;389.00;1;pcs;1;;Device;;;
1SDA038306R0001;1SDA038306R1;0;UNDER VOLTAGE RELEASE 24V DC E1/6-T8;U-Ausl.E1-E6  24V DC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038307R0001;1SDA038307R1;0;UNDER VOLTAGE RELEASE 30V E1/6-T8;U-Ausl.E1-E6  30V AC/DC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038309R0001;1SDA038309R1;0;UNDER VOLTAGE RELEASE 60V E1/6-T8;U-Ausl.E1-E6  60V AC/DC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038310R0001;1SDA038310R1;0;UNDER VOLTAGE RELEASE 110/120V E1/6-T8;U-Ausl.E1-E6 110-115V AC/DC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038311R0001;1SDA038311R1;0;UNDER VOLTAGE RELEASE 120/127V E1/6-T8;U-Ausl.E1-E6 120-127V AC/DC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038312R0001;1SDA038312R1;0;UNDER VOLTAGE RELEASE 220/240V E1/6-T8;U-Ausl.E1-E6 220-230V AC/DC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038313R0001;1SDA038313R1;0;UNDER VOLTAGE RELEASE 240/250V E1/6-T8;U-Ausl.E1-E6 240-250V AC/DC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038314R0001;1SDA038314R1;0;UNDER VOLTAGE RELEASE 380/400V E1/6-T8;U-Ausl.E1-E6 380-400V AC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038315R0001;1SDA038315R1;0;YU 415-440Vac IEC/440-480Vac UL E1/6-T8;U-Ausl.E1-E6 440V AC Zub. f. Leistungsschalter E1-E6;357.00;1;pcs;1;;Device;;;
1SDA038316R0001;1SDA038316R1;0;TIME DEL.UVR24/30VE1/6-T7-X1-T8-E1.2/6.2;Zeitv.U-Ausl. T7 X1 E1-6 24-30V AC/DC Zub. f. Leistungsschalter E1-E6;420.00;1;pcs;1;;Device;;;
