Language;ProductId;LocalOrderCode;Description;Price;Weight;quantity;Image;UIGroup;;;;;;;;;
de_DE;1STQ001002A0000;EV1093;5St Kabelschellen D. 48-72 EV1093;27.4;0.55;1;EV1093.png;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ001005A0000;EV1100;1000St Schrauben 4,2x13;157;1.15;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ001006A0000;EV1101;1000St Schrauben 4,2x19;186;1.28;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ002146B0000;PBBS0001;2St Halterungen für Profil 1,2,;15.6;0.2;1;PBBS0001.png;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ002333B0000;PBBS0020;2St Halterungen für Kabelbefest;11.95;0.2;1;PBBS0020.png;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ006608A0000;EV0103;20St Torx M5X16+Unterlagscheibe;24.8;0.5;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ006609A0000;EV0104;20St Torx M6X16+Unterlagscheibe;26.4;0.5;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ008110A0000;PSAF0016;16St axial Verbindungssys. 3W S;15.6;0.66;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ008211A0000;TS4011;2St Profil EN50024 C30 B2000;62;2;1;TS4011.png;Profiles;;;;;;;;;
de_DE;1STQ008212A0000;TS4012;2St Profil EN50035 G32 B2000;50;2;1;TS4012.png;Profiles;;;;;;;;;
de_DE;1STQ008213A0000;TS4013;2St Profil DIN/EN50035 B2000;41.4;2;1;TS4013.png;Profiles;;;;;;;;;
de_DE;1STQ009158A0000;PHFR4180;4St Scharnier 180°;194;0.77;1;PHFR4180.png;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ009159A0000;PHDR0004;4St Scharnier Standardtür;25.1;0.185;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ009182A0000;PSCP0024;24St Schrauben für Seitenwände;33.1;0.28;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;1STQ009183A0000;PCSS0024;24St Schraube 1/4 + Unterlagsch;50.5;0.153;1;white_image;Screws / Nuts / Hinges;;;;;;;;;
de_DE;2CPX046021R9999;RZB11;Profilschiene Nr.1 FB1;5.35;0.3276;1;RZB11.png;Profiles;;;;;;;;;
de_DE;2CPX046022R9999;RZB21;Profilschiene Nr.1 FB2;8.25;0.5512;1;RZB21.png;Profiles;;;;;;;;;
de_DE;2CPX046023R9999;RZB31;Profilschiene Nr.1 FB3;11.9;0.83096;1;RZB31.png;Profiles;;;;;;;;;
de_DE;2CPX046024R9999;RZB41;Profilschiene Nr.1 FB4;15.5;1.11072;1;RZB41.png;Profiles;;;;;;;;;
de_DE;2CPX046025R9999;RZB51;Profilschiene Nr.1 FB5;19.1;1.39048;1;RZB51.png;Profiles;;;;;;;;;
de_DE;2CPX046026R9999;RZT33;Profilschiene Nr.3 T3;8;0.54392;1;RZT33.png;Profiles;;;;;;;;;
de_DE;2CPX046027R9999;RZT43;Profilschiene Nr.3 T4;10.35;0.82368;1;RZT43.png;Profiles;;;;;;;;;
de_DE;2CPX046028R9999;RZT63;Profilschiene Nr.3 T6;15.2;1.38424;1;RZT63.png;Profiles;;;;;;;;;
