Item;Description;Description ;Beschreibung;M;L;DIN;ISO;UNI;Weight;ArtNr. SUJ;Beschreibung
VTE10X15;MISSING;Hex cap screws;Sechskantschrauben ;10;15;MISSING;MISSING;MISSING;0,077083333;MISSING;MISSING
VTE10X20;SCREW TE  M10X20;Hex cap screws;Sechskantschrauben ;10;20;933;4017;5739;0,085416667;10925;Sechskantschraube M10x20mm DIN933 8.8 vz
VTE10X25;SCREW T.ESAGONALE M10X25 ZB;Hex cap screws;Sechskantschrauben ;10;25;933;4017;5739;0,096527778;10926;Sechskantschraube M10x25mm DIN933 8.8 vz
VTE10X30;SCREW TE  U5739 10X30 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;30;933;4017;5739;0,107638889;10927;Sechskantschraube M10x30
VTE10X35;SCREW TE  U5739 10X35 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;35;933;4017;5739;0,11875;10928;Sechskantschraube M10x35mm DIN933 8.8 vz
VTE10X40;SCREW TE  M10X40 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;40;933;4017;5739;0,129861111;10929;Sechskantschraube M10x40mm DIN933 8.8 vz
VTE10X45;SCREW TE  U5739 10X45 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;45;933;4017;5739;0,140972222;109334;Sechskantschraube M10x45mm DIN933 8.8 vz
VTE10X50;SCREW TE  U5739 10X50 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;50;933;4017;5739;0,151388889;10930;Sechskantschraube M10x50mm DIN933 8.8 vz
VTE10X55;SCREW TE  U5739 10X55 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;55;933;4017;5739;MISSING;132438;Sechskantschraube M10x55mm DIN933 8.8 vz
VTE10X60;SCREW T.ES.M10X60;Hex cap screws;Sechskantschrauben ;10;60;933;4017;5739;0.025;10931;Sechskantschraube M10x60mm DIN933 8.8 vz
VTE10X65;SCREW TE  U5739 10X65 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;65;933;4017;5739;0,184722222;125120;Sechskantschraube M10x65mm DIN933 8.8 vz
VTE10X70;SCREW TE  U5739 10X70 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;70;933;4017;5739;0,195833333;10932;Sechskantschraube M10x70mm DIN933 8.8 vz
VTE10X75;SCREW TE  U5739 10x75 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;75;933;4017;5739;MISSING;132439;Sechskantschraube M10x75mm DIN933 8.8 vz
VTE10X80;SCREW TE  U5739 10x80 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;80;933;4017;5739;0,218055556;10933;Sechskantschraube M10x80mm DIN933 8.8
VTE10X85;SCREW TE  U5739 10x85 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;85;933;4017;5739;0.035;132440;Sechskantschraube M10x85mm DIN933 8.8
VTE10X90;SCREW TE  U5739 10x90 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;90;933;4017;5739;MISSING;132440;Sechskantschraube M10x90mm DIN933 8.8
VTE12X100;SCREW TE  U5739 12X100 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;100;933;4017;5739;MISSING;10962;Sechskantschraube M12x100mm DIN933 8.8 vz
VTE12X105;MISSING;Hex cap screws;Sechskantschrauben ;12;105;933;4017;5739;00.11;MISSING;MISSING
VTE12X110;SCREW TE  U5739 12X110 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;110;933;4017;5739;00.11;10963;Sechskantschraube M12x110mm DIN931 8.8vz
VTE12X115;MISSING;Hex cap screws;Sechskantschrauben ;12;115;933;4017;5739;0,081944444;MISSING;MISSING
VTE12X120;SCREW TE  U5739 12X120 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;120;933;4017;5739;MISSING;10964;Sechskantschraube M12x120mm DIN931 8.8vz
VTE12X125;MISSING;Hex cap screws;Sechskantschrauben ;12;125;933;4017;5739;0,0875;MISSING;MISSING
VTE12X130;SCREW TE  U5739 12X125 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;130;933;4017;5739;MISSING;10965;Sechskantschraube M12x130mm DIN931 8.8vz
VTE12X135;MISSING;Hex cap screws;Sechskantschrauben ;12;135;933;4017;5739;0,09375;MISSING;MISSING
VTE12X140;SCREW TE  U5739 12X125 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;140;933;4017;5739;MISSING;10966;Sechskantschraube M12x140mm DIN931 8.8vz
VTE12X145;MISSING;Hex cap screws;Sechskantschrauben ;12;145;933;4017;5739;0,099305556;MISSING;MISSING
VTE12X150;SCREW TE  U5739 12X145 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;150;933;4017;5739;MISSING;10967;Sechskantschraube M12x150mm DIN931 8.8vz
VTE12X155;MISSING;Hex cap screws;Sechskantschrauben ;12;155;933;4017;5739;00.15;MISSING;MISSING
VTE12X160;SCREW TE  U5739 12X155 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;160;933;4017;5739;MISSING;10958;Sechskantschraube M12x160mm DIN931 8.8vz
VTE12X165;MISSING;Hex cap screws;Sechskantschrauben ;12;165;933;4017;5739;0,107638889;MISSING;MISSING
VTE12X170;SCREW TE  U5739 12X165 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;170;933;4017;5739;MISSING;10959;Sechskantschraube M12x170mm DIN931 8.8vz
VTE12X30;SCREW TE  U5739 12X30 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;30;933;4017;5739;0,261805556;10936;Sechskantschraube M12x30mm DIN933 8.8 vz
VTE12X30I;SCREW TE UNI  5739 A2 12X30;Hex cap screws;Sechskantschrauben ;12;30;933;4017;5739;0,261805556;132442;Sechskantschraube M12x30mm DIN933  A2
VTE12X35;SCREW M12X35 LODI UNIONE STACCO/BARRE;Hex cap screws;Sechskantschrauben ;12;35;933;4017;5739;0,286805556;10937;Sechskantschraube M12x35mm DIN933 8.8 vz
VTE12X40;SCREW TE  U5739 12X40 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;40;933;4017;5739;0,311805556;10938;Sechskantschraube M12x40mm DIN933 8.8 vz
VTE12X45;SCREW TE  U5739 12X45 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;45;933;4017;5739;0,336805556;109367;Sechskantschraube M12x45mm DIN933 8.8 vz
VTE12X50;SCREW TE  U5739 12X50 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;50;933;4017;5739;0.052;10939;Sechskantschraube M12x50mm DIN933 8.8 vz
VTE12X55;SCREW TE  U5739 12X55 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;55;933;4017;5739;0,386111111;107444;Sechskantschraube M12x55mm DIN933 8.8 vz
VTE12X60;SCREW TE  U5739 12X60 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;60;933;4017;5739;0,404166667;10940;Sechskantschraube M12x60
