8_Digit_Code,15 Digit Code,Product Type Assembled,15 digit code Assembled,Description,Item,SAP_IT_Component,Description,Q.ty,UM,Weight,DWG,Noble Part Code,Valid Since ,Valid to ,Mod. N.,Status,DELETED,Modification applied,Material,ABB_Library_Document_Number,ABB_Library_Document_Link_DXF,DXF,ABB_Library_Document_Link_PDF,PDF,Figure,W,D
PBNE1052,1STQ005457B0000,PBNE1052A,1STQ001378M0000,CONN XLI N_N D1000 50X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1052,1STQ005457B0000,PBNE1052A,1STQ001378M0000,CONN XLI N_N D1000 50X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1052,1STQ005457B0000,PBNE1052A,1STQ001378M0000,CONN XLI N_N D1000 50X10 3200/4000A,50,VTE12X50,SCREW TE  U5739 12X50 ZINC COAT.  ,1,ST,0.05,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1052,1STQ005457B0000,PBNE1052A,1STQ001378M0000,CONN XLI N_N D1000 50X10 3200/4000A,60,MTZ12.5,GZN 490 084 P0109 RON.TAZZA D.INT.12.5X3,1,ST,0.003,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1062,1STQ005458B0000,PBNE1062A,1STQ001381M0000,CONN XLI N_N D1000 60X10 3200/4000A,10,863979/014,CONNECTION N 60X10 P1000 TIPO A,1,ST,3.1,863979,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000082,14,60,10
PBNE1062,1STQ005458B0000,PBNE1062A,1STQ001381M0000,CONN XLI N_N D1000 60X10 3200/4000A,20,VTE8X30,SCREW TE 4.8 UNI5739-DIN933 8X30,2,ST,0.03,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1062,1STQ005458B0000,PBNE1062A,1STQ001381M0000,CONN XLI N_N D1000 60X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1062,1STQ005458B0000,PBNE1062A,1STQ001381M0000,CONN XLI N_N D1000 60X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1062,1STQ005458B0000,PBNE1062A,1STQ001381M0000,CONN XLI N_N D1000 60X10 3200/4000A,50,VTE12X50,SCREW TE  U5739 12X50 ZINC COAT.  ,1,ST,0.05,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1062,1STQ005458B0000,PBNE1062A,1STQ001381M0000,CONN XLI N_N D1000 60X10 3200/4000A,60,MTZ12.5,GZN 490 084 P0109 RON.TAZZA D.INT.12.5X3,1,ST,0.003,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
